date,Open Interest,Dealer Longs,Dealer Shorts,Dealer Spreads,Asset Manager Longs,Asset Manager Shorts,Asset Manager Spreads,Leveraged Funds Longs,Leveraged Funds Shorts,Leveraged Funds Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2018-04-10,1702.0,0.0,0.0,0.0,122.0,0.0,0.0,902.0,1108.0,25.0,53.0,207.0,1.0,1103.0,1341.0,599.0,361.0
2018-04-17,2029.0,0.0,0.0,0.0,122.0,0.0,0.0,1053.0,1313.0,42.0,130.0,332.0,0.0,1347.0,1687.0,682.0,342.0
2018-04-24,2380.0,0.0,0.0,0.0,105.0,0.0,0.0,1194.0,1682.0,46.0,198.0,336.0,8.0,1551.0,2072.0,829.0,308.0
2018-05-01,1991.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.0,1348.0,27.0,177.0,283.0,0.0,1402.0,1658.0,589.0,333.0
2018-05-08,2485.0,0.0,0.0,0.0,0.0,0.0,0.0,1284.0,1707.0,20.0,391.0,368.0,0.0,1695.0,2095.0,790.0,390.0
2018-05-15,2505.0,0.0,0.0,0.0,0.0,29.0,0.0,1338.0,1657.0,26.0,337.0,366.0,0.0,1701.0,2078.0,804.0,427.0
2018-05-22,2684.0,0.0,0.0,0.0,0.0,29.0,0.0,1323.0,1872.0,50.0,462.0,327.0,0.0,1835.0,2278.0,849.0,406.0
2018-05-29,2714.0,0.0,0.0,0.0,38.0,25.0,0.0,1172.0,1812.0,55.0,486.0,416.0,3.0,1754.0,2311.0,960.0,403.0
2018-06-05,2556.0,0.0,0.0,0.0,47.0,29.0,0.0,1126.0,1845.0,27.0,540.0,305.0,0.0,1740.0,2206.0,816.0,350.0
2018-06-12,2643.0,29.0,0.0,0.0,0.0,108.0,0.0,1349.0,1634.0,19.0,427.0,440.0,0.0,1824.0,2201.0,819.0,442.0
2018-06-19,2633.0,29.0,0.0,0.0,52.0,59.0,0.0,1478.0,1414.0,111.0,159.0,590.0,0.0,1829.0,2174.0,804.0,459.0
2018-06-26,2687.0,29.0,0.0,0.0,0.0,111.0,0.0,1508.0,1505.0,137.0,171.0,515.0,3.0,1848.0,2271.0,839.0,416.0
2018-07-03,2514.0,0.0,0.0,0.0,44.0,84.0,0.0,1198.0,1639.0,42.0,438.0,366.0,6.0,1728.0,2137.0,786.0,377.0
2018-07-10,2622.0,0.0,0.0,0.0,0.0,119.0,0.0,1412.0,1652.0,102.0,396.0,368.0,11.0,1921.0,2252.0,701.0,370.0
2018-07-17,2854.0,0.0,0.0,0.0,25.0,89.0,0.0,1469.0,1990.0,68.0,493.0,332.0,15.0,2070.0,2494.0,784.0,360.0
2018-07-24,3431.0,30.0,0.0,0.0,44.0,164.0,6.0,1353.0,2313.0,174.0,868.0,392.0,25.0,2500.0,3074.0,931.0,357.0
2018-07-31,3063.0,0.0,0.0,0.0,0.0,209.0,9.0,1722.0,1969.0,258.0,259.0,340.0,0.0,2248.0,2785.0,815.0,278.0
2018-08-07,2732.0,0.0,0.0,0.0,0.0,143.0,23.0,1481.0,1454.0,293.0,135.0,470.0,0.0,1932.0,2383.0,800.0,349.0
2018-08-14,2983.0,0.0,0.0,0.0,0.0,215.0,8.0,2065.0,1766.0,67.0,138.0,521.0,0.0,2278.0,2577.0,705.0,406.0
2018-08-21,2981.0,0.0,0.0,0.0,0.0,191.0,13.0,2104.0,1838.0,68.0,85.0,515.0,0.0,2270.0,2625.0,711.0,356.0
2018-08-28,2840.0,0.0,0.0,0.0,67.0,170.0,13.0,1688.0,1745.0,53.0,160.0,529.0,0.0,1981.0,2510.0,859.0,330.0
2018-09-04,2707.0,0.0,0.0,0.0,99.0,140.0,8.0,1187.0,1657.0,17.0,576.0,532.0,0.0,1887.0,2354.0,820.0,353.0
2018-09-11,2711.0,0.0,0.0,0.0,0.0,199.0,10.0,1630.0,1322.0,198.0,116.0,727.0,14.0,1968.0,2470.0,743.0,241.0
2018-09-18,2742.0,0.0,0.0,0.0,0.0,140.0,10.0,1566.0,1382.0,203.0,90.0,654.0,15.0,1884.0,2404.0,858.0,338.0
2018-09-25,2746.0,0.0,1.0,35.0,0.0,131.0,18.0,1412.0,1420.0,277.0,213.0,539.0,2.0,1957.0,2423.0,789.0,323.0
2018-10-02,2354.0,0.0,40.0,0.0,26.0,125.0,4.0,1237.0,1342.0,19.0,327.0,566.0,0.0,1613.0,2096.0,741.0,258.0
2018-10-09,2848.0,0.0,76.0,0.0,0.0,121.0,0.0,1643.0,1656.0,24.0,395.0,606.0,0.0,2062.0,2483.0,786.0,365.0
2018-10-16,2730.0,0.0,76.0,0.0,54.0,108.0,0.0,1606.0,1620.0,64.0,302.0,556.0,0.0,2026.0,2424.0,704.0,306.0
2018-10-23,3001.0,0.0,76.0,0.0,0.0,161.0,0.0,1659.0,1400.0,466.0,211.0,531.0,0.0,2336.0,2634.0,665.0,367.0
2018-10-30,2608.0,0.0,0.0,0.0,0.0,238.0,0.0,1789.0,1511.0,82.0,184.0,451.0,0.0,2055.0,2282.0,553.0,326.0
2018-11-06,2913.0,0.0,0.0,0.0,72.0,108.0,0.0,1877.0,1965.0,0.0,299.0,552.0,0.0,2248.0,2625.0,665.0,288.0
2018-11-13,3530.0,31.0,0.0,0.0,0.0,250.0,0.0,2462.0,2353.0,1.0,399.0,619.0,0.0,2893.0,3223.0,637.0,307.0
2018-11-20,3729.0,0.0,0.0,0.0,0.0,166.0,0.0,2152.0,1912.0,586.0,315.0,672.0,13.0,3066.0,3349.0,663.0,380.0
2018-11-27,3791.0,0.0,0.0,0.0,0.0,238.0,0.0,2416.0,2089.0,367.0,261.0,674.0,13.0,3057.0,3381.0,734.0,410.0
2018-12-04,3301.0,0.0,0.0,0.0,34.0,123.0,0.0,2409.0,2317.0,64.0,195.0,465.0,14.0,2716.0,2983.0,585.0,318.0
2018-12-11,3970.0,0.0,0.0,0.0,27.0,256.0,0.0,2905.0,2699.0,117.0,159.0,545.0,11.0,3219.0,3628.0,751.0,342.0
2018-12-18,4359.0,0.0,0.0,0.0,138.0,110.0,0.0,3091.0,3213.0,152.0,178.0,605.0,0.0,3559.0,4080.0,800.0,279.0
2018-12-24,3857.0,0.0,0.0,0.0,101.0,140.0,0.0,2690.0,2577.0,173.0,160.0,673.0,13.0,3137.0,3576.0,720.0,281.0
2018-12-31,3708.0,49.0,0.0,1.0,80.0,140.0,0.0,2452.0,2389.0,222.0,105.0,674.0,4.0,2913.0,3430.0,795.0,278.0
2019-01-08,3764.0,0.0,0.0,0.0,165.0,140.0,0.0,2610.0,2648.0,68.0,201.0,602.0,0.0,3044.0,3458.0,720.0,306.0
2019-01-15,4473.0,0.0,1.0,80.0,27.0,337.0,0.0,3417.0,2923.0,125.0,110.0,608.0,8.0,3767.0,4082.0,706.0,391.0
2019-01-22,4976.0,0.0,1.0,100.0,27.0,344.0,0.0,3341.0,2863.0,706.0,111.0,610.0,8.0,4293.0,4632.0,683.0,344.0
2019-01-29,4047.0,0.0,97.0,0.0,30.0,360.0,0.0,2760.0,2572.0,336.0,227.0,347.0,5.0,3358.0,3717.0,689.0,330.0
2019-02-05,3881.0,0.0,97.0,0.0,32.0,291.0,0.0,2532.0,2429.0,373.0,245.0,354.0,4.0,3186.0,3548.0,695.0,333.0
2019-02-12,3361.0,0.0,97.0,11.0,134.0,205.0,15.0,1697.0,2090.0,232.0,510.0,462.0,0.0,2599.0,3112.0,762.0,249.0
2019-02-19,3964.0,0.0,97.0,27.0,170.0,165.0,52.0,1834.0,2259.0,268.0,704.0,761.0,51.0,3106.0,3680.0,858.0,284.0
2019-02-26,3324.0,0.0,124.0,0.0,54.0,283.0,27.0,1575.0,1885.0,105.0,739.0,624.0,0.0,2500.0,3048.0,824.0,276.0
2019-03-05,3226.0,0.0,124.0,0.0,33.0,228.0,27.0,1347.0,1812.0,138.0,823.0,559.0,0.0,2368.0,2888.0,858.0,338.0
2019-03-12,3480.0,0.0,124.0,0.0,97.0,195.0,40.0,1459.0,2257.0,187.0,751.0,343.0,104.0,2638.0,3250.0,842.0,230.0
2019-03-19,3681.0,0.0,124.0,0.0,156.0,177.0,0.0,1460.0,2528.0,129.0,767.0,285.0,166.0,2678.0,3409.0,1003.0,272.0
2019-03-26,3428.0,0.0,124.0,0.0,35.0,241.0,0.0,1238.0,2105.0,276.0,687.0,88.0,262.0,2498.0,3096.0,930.0,332.0
2019-04-02,4000.0,0.0,158.0,0.0,315.0,89.0,35.0,1517.0,2598.0,416.0,598.0,440.0,20.0,2901.0,3756.0,1099.0,244.0
2019-04-09,4443.0,0.0,158.0,0.0,244.0,80.0,3.0,1968.0,2714.0,350.0,634.0,804.0,68.0,3267.0,4177.0,1176.0,266.0
2019-04-16,4324.0,0.0,158.0,0.0,163.0,201.0,0.0,2272.0,2541.0,176.0,532.0,975.0,17.0,3160.0,4068.0,1164.0,256.0
2019-04-23,4313.0,0.0,158.0,0.0,245.0,132.0,4.0,2025.0,2458.0,152.0,501.0,1173.0,0.0,2927.0,4077.0,1386.0,236.0
2019-04-30,3817.0,0.0,123.0,0.0,254.0,72.0,35.0,1789.0,2375.0,63.0,458.0,942.0,0.0,2599.0,3610.0,1218.0,207.0
2019-05-07,4388.0,0.0,123.0,0.0,286.0,0.0,29.0,1941.0,2692.0,79.0,719.0,1216.0,0.0,3054.0,4139.0,1334.0,249.0
2019-05-14,4447.0,0.0,123.0,0.0,199.0,0.0,15.0,2289.0,2455.0,274.0,317.0,1218.0,0.0,3094.0,4085.0,1353.0,362.0
2019-05-21,4650.0,0.0,123.0,0.0,223.0,0.0,0.0,2354.0,2498.0,384.0,268.0,1251.0,0.0,3229.0,4256.0,1421.0,394.0
2019-05-28,5190.0,0.0,123.0,0.0,319.0,0.0,0.0,2709.0,2763.0,371.0,238.0,1577.0,0.0,3637.0,4834.0,1553.0,356.0
2019-06-04,4436.0,0.0,0.0,0.0,300.0,56.0,0.0,2321.0,2698.0,211.0,213.0,1043.0,0.0,3045.0,4008.0,1391.0,428.0
2019-06-11,4434.0,0.0,0.0,0.0,359.0,0.0,0.0,2073.0,3044.0,256.0,362.0,751.0,24.0,3074.0,4075.0,1360.0,359.0
2019-06-18,5391.0,0.0,0.0,0.0,354.0,0.0,0.0,2564.0,2911.0,491.0,482.0,1621.0,0.0,3891.0,5023.0,1500.0,368.0
2019-06-25,6021.0,0.0,0.0,0.0,310.0,0.0,25.0,3093.0,3246.0,366.0,490.0,1967.0,0.0,4284.0,5604.0,1737.0,417.0
2019-07-02,5839.0,36.0,0.0,0.0,188.0,146.0,30.0,3253.0,3326.0,162.0,605.0,1812.0,30.0,4304.0,5506.0,1535.0,333.0
2019-07-09,6075.0,57.0,0.0,0.0,249.0,109.0,15.0,3233.0,3730.0,136.0,625.0,1711.0,30.0,4345.0,5731.0,1730.0,344.0
2019-07-16,5322.0,39.0,0.0,0.0,211.0,151.0,0.0,2566.0,3394.0,120.0,506.0,1157.0,91.0,3533.0,4913.0,1789.0,409.0
2019-07-23,4928.0,40.0,0.0,0.0,102.0,111.0,53.0,2208.0,2799.0,59.0,682.0,1370.0,72.0,3216.0,4464.0,1712.0,464.0
2019-07-30,4302.0,60.0,0.0,0.0,251.0,147.0,0.0,1843.0,2288.0,6.0,533.0,1280.0,86.0,2779.0,3807.0,1523.0,495.0
2019-08-06,4692.0,0.0,0.0,0.0,260.0,224.0,0.0,1847.0,2264.0,35.0,713.0,1586.0,37.0,2892.0,4146.0,1800.0,546.0
2019-08-13,4729.0,0.0,50.0,0.0,222.0,224.0,0.0,2002.0,2480.0,20.0,647.0,1346.0,90.0,2981.0,4210.0,1748.0,519.0
2019-08-20,4485.0,0.0,50.0,0.0,266.0,224.0,5.0,1836.0,2209.0,13.0,463.0,1350.0,206.0,2789.0,4057.0,1696.0,428.0
2019-08-27,4091.0,0.0,50.0,0.0,237.0,222.0,0.0,1739.0,2093.0,13.0,309.0,1131.0,68.0,2366.0,3577.0,1725.0,514.0
2019-09-03,4493.0,31.0,50.0,0.0,324.0,163.0,0.0,1979.0,2467.0,36.0,421.0,1221.0,118.0,2909.0,4055.0,1584.0,438.0
2019-09-10,4128.0,31.0,50.0,0.0,244.0,190.0,0.0,1692.0,2233.0,142.0,480.0,951.0,111.0,2700.0,3677.0,1428.0,451.0
2019-09-17,4174.0,31.0,50.0,0.0,262.0,201.0,0.0,1688.0,2254.0,164.0,521.0,1093.0,55.0,2721.0,3817.0,1453.0,357.0
2019-09-24,4178.0,72.0,50.0,0.0,42.0,100.0,55.0,1651.0,2510.0,171.0,488.0,687.0,71.0,2550.0,3644.0,1628.0,534.0
2019-10-01,3348.0,59.0,0.0,0.0,70.0,31.0,30.0,1298.0,2063.0,42.0,374.0,572.0,65.0,1938.0,2803.0,1410.0,545.0
2019-10-08,3335.0,59.0,0.0,0.0,140.0,138.0,0.0,1211.0,2048.0,79.0,395.0,526.0,56.0,1940.0,2847.0,1395.0,488.0
2019-10-15,3444.0,59.0,0.0,0.0,210.0,149.0,1.0,1186.0,2031.0,154.0,370.0,511.0,46.0,2026.0,2892.0,1418.0,552.0
2019-10-22,3093.0,59.0,0.0,0.0,163.0,31.0,0.0,950.0,1714.0,148.0,321.0,518.0,68.0,1709.0,2479.0,1384.0,614.0
2019-10-29,3155.0,33.0,0.0,0.0,260.0,86.0,0.0,956.0,2016.0,103.0,569.0,445.0,49.0,1970.0,2699.0,1185.0,456.0
2019-11-05,3520.0,32.0,0.0,0.0,188.0,149.0,10.0,1221.0,2345.0,134.0,595.0,457.0,43.0,2223.0,3138.0,1297.0,382.0
2019-11-12,3091.0,32.0,0.0,0.0,99.0,143.0,10.0,912.0,2043.0,87.0,636.0,358.0,41.0,1817.0,2682.0,1274.0,409.0
2019-11-19,3157.0,38.0,0.0,0.0,67.0,292.0,0.0,1059.0,1914.0,84.0,466.0,334.0,41.0,1755.0,2665.0,1402.0,492.0
2019-11-26,3554.0,38.0,0.0,0.0,56.0,298.0,1.0,1155.0,1669.0,263.0,334.0,626.0,38.0,1885.0,2895.0,1669.0,659.0
2019-12-03,2983.0,131.0,0.0,0.0,93.0,256.0,11.0,894.0,1257.0,17.0,307.0,638.0,44.0,1497.0,2223.0,1486.0,760.0
2019-12-10,3232.0,131.0,0.0,0.0,56.0,285.0,1.0,1069.0,1766.0,109.0,310.0,396.0,12.0,1688.0,2569.0,1544.0,663.0
2019-12-17,3840.0,134.0,0.0,0.0,38.0,444.0,0.0,1578.0,2446.0,125.0,295.0,331.0,12.0,2182.0,3358.0,1658.0,482.0
2019-12-24,3541.0,137.0,0.0,0.0,133.0,283.0,1.0,1179.0,2256.0,100.0,276.0,514.0,25.0,1851.0,3179.0,1690.0,362.0
2019-12-31,3186.0,137.0,0.0,0.0,159.0,437.0,1.0,1037.0,1840.0,102.0,366.0,451.0,30.0,1832.0,2861.0,1354.0,325.0
2020-01-07,5400.0,66.0,42.0,0.0,338.0,331.0,0.0,2517.0,3661.0,238.0,464.0,786.0,20.0,3643.0,5078.0,1757.0,322.0
2020-01-14,5405.0,66.0,46.0,0.0,272.0,300.0,0.0,2688.0,3339.0,230.0,342.0,1043.0,33.0,3631.0,4991.0,1774.0,414.0
2020-01-21,5139.0,66.0,46.0,0.0,185.0,445.0,0.0,2304.0,3035.0,302.0,437.0,864.0,43.0,3337.0,4735.0,1802.0,404.0
2020-01-28,4917.0,66.0,46.0,0.0,391.0,438.0,0.0,1747.0,2907.0,253.0,419.0,765.0,74.0,2950.0,4483.0,1967.0,434.0
2020-02-04,4367.0,71.0,50.0,0.0,132.0,434.0,0.0,1436.0,3136.0,96.0,678.0,168.0,103.0,2516.0,3987.0,1851.0,380.0
2020-02-11,6106.0,76.0,50.0,0.0,367.0,148.0,0.0,2237.0,4553.0,244.0,924.0,533.0,146.0,3994.0,5674.0,2112.0,432.0
